issue_id,title,contents,authorLogin,authorAssociation,createdAt,closed,closedAt,closedDuration_days,milestone,participants_count,comments_count,firstCommentCreatedAt,firstCommentDuration_days,firstCommentAuthor,firstCommentAuthorAssociation,num_unique_comment_author_MEMBER,num_unique_comment_author_CONTRIBUTOR,num_unique_comment_author_COLLABORATOR,num_unique_comment_author_NONE,labels,label_waiting,label_feature request,label_has pr,label_Protractor,label_Karma,label_npm,label_React,label_docs,label_has Tracker story,label_ready for work,label_duplicate,label_bug,label_1.3.x,label_gem,label_help needed
1,geminstaller doesn't work,"geminstaller still points to github for gems.  I'm not sure if all these gems are on gemcutter.  I can't find jsdoc-helper.  I admittedly stopped there.  Can we get this working?  I'm going to try to build all these gems by hand, but some people on the team are not going to be keen on doing that.",adkron,NONE,2009-12-17 04:02:52+00:00,True,2009-12-24 05:31:08+00:00,7.06,,2,4,2009-12-23 15:51:18+00:00,6.49,ragaskar,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,documentation of 'not' in matchers,"Documentation incorrect:
Expectation Matchers
Jasmine has several built-in matchers.  Here are a few:
...
wrong
Every matcher's criteria can be inverted by prepending .not:
expect(x).not.toEqual(y); compares objects or primitives x and y and passes if they are not equivalent
right?
Every matcher's criteria can be inverted by inserting Not in the matcher function name after to:
expect(x).toNotEqual(y); compares objects or primitives x and y and passes if they are not equivalent",mc2,NONE,2010-03-06 19:29:02+00:00,True,2010-03-15 20:28:33+00:00,9.04,,2,1,2010-03-15 20:28:33+00:00,9.04,xian,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Wrong script reference in example_runner.html  in 0.10.3-release,"There is a minor error in
examples/html/example_runner.html
<script type=""text/javascript"" src=""../../lib/jasmine-0.10.1.js""></script>
Should be
<script type=""text/javascript"" src=""../../lib/jasmine-0.10.3.js""></script>",rslijp,NONE,2010-04-11 18:32:29+00:00,True,2010-07-09 21:56:29+00:00,89.14,,3,2,2010-04-12 18:58:35+00:00,1.02,jfirebaugh,NONE,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"describe(<non-string>, ...) causes cryptic errors","describe(String, function() {
  ...
});

The first argument to describe should be converted to a string in a useful way, a la rspec. In particular it would be useful to pass constructor functions and have them read as a type name.",jfirebaugh,NONE,2010-05-07 00:10:18+00:00,True,2011-06-19 03:32:37+00:00,408.14,,3,4,2010-08-07 17:39:25+00:00,92.73,,NONE,0,1,0,2,['feature request'],False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Backtrace for errors,"Hi,
when an exception is thrown (and not caught), jasmine caught it and marks the spec as failed. It's the expected behaviour, but the backtrace is lost and it can be difficult to fix the spec.",nono,NONE,2010-05-10 14:08:32+00:00,True,2011-06-19 03:33:27+00:00,404.56,,13,14,2010-05-10 14:24:47+00:00,0.01,eahanson,CONTRIBUTOR,0,3,0,10,['bug'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,Rhino?,"One of your stated reasons for writing jasmine was that 'some frameworks require a browser'... can jasmine be run just w/ rhino?
thanks",jaredly,NONE,2010-05-10 18:00:54+00:00,True,2010-08-08 00:42:39+00:00,89.28,,2,2,2010-08-07 17:42:24+00:00,88.99,,NONE,0,0,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,jasmine assumes existence of global window object,"I understand that one of the design goals of jasmine is to be host agnostic. However, evaluating it in a bare javascript interpreter yields the following error:
ReferenceError: window is not defined: jasmine-0.10.3.js:49
You may want to detect if window exists before remapping its functions.
cheers,
Charles",cowboyd,NONE,2010-06-02 12:38:54+00:00,True,2010-06-22 23:25:44+00:00,20.45,,3,2,2010-06-02 12:45:21+00:00,0.0,ragaskar,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,spec counting and reporting is inconsistent.,"describe(""The Runner"", function() {
it(""does not count a spec in the totalCount if there are no expectations (even though it does run)"", function() {
})
it(""does not have a count of skippped specs (it reports it as a pass)"")
it(""does not treat an it() statement without a body as a skip/pending (but reports a pass result)"")
xit(""does not report a result at all for skipped specs"")
})
. . .
0 examples, 0 failures.
This should read
.---
4 examples, 0 failures, 3 pending.
I think a more consistent approach is to always report a result result for a spec whether it has expectations or not, and whether it was skipped or not. It's up to the view to decide how/if it wants to render it.
Also, I think that it() without a body should call xit() and behave just like",cowboyd,NONE,2010-06-04 10:02:31+00:00,True,2011-01-26 20:41:20+00:00,236.44,,4,7,2010-08-07 17:44:55+00:00,64.32,infews,CONTRIBUTOR,0,1,0,3,['feature request'],False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Rails 3 support?,"Does jasmine currently support rails 3?  When I try and run 'rails generate jasmine' I get the error of:
Could not find generator jasmine.
Any help is greatly appreciated.",jstreb,NONE,2010-06-15 20:18:49+00:00,True,2011-01-26 20:41:54+00:00,225.02,,4,4,2010-06-16 13:34:45+00:00,0.72,ragaskar,CONTRIBUTOR,0,2,0,1,['feature request'],False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,WaitsForBlock sometimes doesn't,"My tests are hanging when I use waitsFor.
Here's a failing test you can add to WaitsForBlockSpec.js, under describe(""if latchFunction returns false"":
it('spec should fail with the passed message', function () {
  spyOn(spec, 'fail');
  var block = new jasmine.WaitsForBlock(env, 100, function() {return false}, message, spec);
  block.execute(onComplete);
  waits(150)
  expect(spec.fail).toHaveBeenCalled();
  var failMessage = spec.fail.mostRecentCall.args[0].message;
  expect(failMessage).toMatch(message);
  expect(onComplete).wasNotCalled();
});",rhunter,NONE,2010-07-09 02:15:08+00:00,True,2010-07-13 03:52:08+00:00,4.07,,2,2,2010-07-09 03:04:57+00:00,0.03,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,toString fails in IE8 sometimes,"We have an edge case where on a failing spec there is no ""toString"" method on a property.
In order to test it feel free to pull http://github.com/mootools/mootools-core - init all submodules and open the Specs folder in IE from a local server.
Replacing the line http://github.com/pivotal/jasmine/blob/master/lib/jasmine.js#L847 with the code below fixes the issue:
  mismatchValues.push(""'"" + property + ""' was '"" + (b[property] ? jasmine.util.htmlEscape(b[property].toString ? b[property].toString() : '' + b[property]) : b[property]) + ""' in expected, but was '"" + (a[property] ? jasmine.util.htmlEscape(a[property].toString ? a[property].toString() : '' + a[property]) : a[property]) + ""' in actual."");",cpojer,NONE,2010-08-30 11:13:16+00:00,True,2011-01-26 20:45:29+00:00,149.4,,3,2,2010-08-31 22:18:56+00:00,1.46,fabiomcosta,CONTRIBUTOR,0,2,0,0,['bug'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
