issue_id,title,contents,authorLogin,authorAssociation,createdAt,closed,closedAt,closedDuration_days,milestone,participants_count,comments_count,firstCommentCreatedAt,firstCommentDuration_days,firstCommentAuthor,firstCommentAuthorAssociation,num_unique_comment_author_MEMBER,num_unique_comment_author_CONTRIBUTOR,num_unique_comment_author_COLLABORATOR,num_unique_comment_author_NONE,labels,label_chore,label_refactor,label_good-first-issue,label_stale,label_future,label_semver-patch,label_developer-experience,label_question,label_core-team,label_integration,label_help wanted,label_unconfirmed-bug,label_node.js,label_needs-upstream-fix,label_confirmed-bug,label_qa,label_wontfix,label_semver-minor,label_nice-to-have,label_reporter,label_browser,label_documentation,label_invalid,label_windows,label_async,label_website,label_feature,label_semver-major,label_faq,label_pr-needs-work,label_needs-feedback,label_needs-review,label_discussion,label_duplicate,label_needs-mcve,label_usability,label_security
1,Add tagging,"like visionmedia/expresso#127 something similar to this, but maybe just file based instead, or maybe we just leave this up to the user to separate them into different files",tj,CONTRIBUTOR,2011-09-01 19:44:41+00:00,True,2011-11-03 04:15:20+00:00,62.35,,1,1,2011-11-03 04:15:20+00:00,62.35,tj,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,base other reporters on JSON-Stream,this way we could add a --concurrency <n> flag and aggregate results,tj,CONTRIBUTOR,2011-09-01 19:55:07+00:00,True,2011-11-15 17:31:34+00:00,74.9,,1,1,2011-11-15 17:31:34+00:00,74.9,tj,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,"Default all to serial / parallel, toggle with flag","add flag(s) to mocha(1), as well as  interface functions to toggle the behaviour",tj,CONTRIBUTOR,2011-09-06 16:41:43+00:00,True,2011-11-03 04:15:11+00:00,57.48,,1,0,,,,,0,0,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,before/after callbacks,setup / teardown for TDD interface etc,tj,CONTRIBUTOR,2011-09-06 16:42:29+00:00,True,2011-09-13 23:57:31+00:00,7.3,,1,0,,,,,0,0,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,test cov,write a proper test cov lib,tj,CONTRIBUTOR,2011-09-06 16:43:19+00:00,True,2012-02-24 05:00:34+00:00,170.51,,15,39,2011-11-23 02:54:52+00:00,77.42,Raynos,CONTRIBUTOR,0,6,0,9,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,mutation cov,,tj,CONTRIBUTOR,2011-09-06 16:43:33+00:00,True,2015-07-04 21:42:04+00:00,1397.21,,5,5,2011-12-12 05:11:55+00:00,96.52,BryanDonovan,CONTRIBUTOR,1,3,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,finish browser support,make sure not to use things that I normally do like forEach :D,tj,CONTRIBUTOR,2011-09-06 16:43:59+00:00,True,2011-12-23 04:48:10+00:00,107.5,,1,0,,,,,0,0,0,0,"['browser', 'feature']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,expect(n) and matchers,come up with an interface for TDD etc as well,tj,CONTRIBUTOR,2011-09-06 16:44:21+00:00,True,2011-09-22 06:34:57+00:00,15.58,,1,1,2011-09-22 06:34:57+00:00,15.58,tj,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,html reporter,,tj,CONTRIBUTOR,2011-09-06 16:44:28+00:00,True,2011-11-18 23:48:45+00:00,73.29,,2,2,2011-10-19 13:50:40+00:00,42.88,sebs,NONE,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,xunit reporter,,tj,CONTRIBUTOR,2011-09-06 16:44:33+00:00,True,2013-12-13 23:08:12+00:00,829.27,,8,9,2011-10-19 13:55:28+00:00,42.88,sebs,NONE,0,1,0,6,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
