issue_id,title,contents,authorLogin,authorAssociation,createdAt,closedAt,closed,comments_count,milestone,participants_count,Label_category-api,Label_category-docs,Label_category-release,Label_category-tests,Label_component-assert,Label_component-cli,Label_component-core,Label_component-diff,Label_component-dump,Label_component-reporter,Label_good for new contributors,Label_help wanted,Label_meta,Label_meta-ready,Label_status-declined,Label_status-stalled,Label_type-enhancement,Label_type-problem,Label_type-support
1,noglobals GET parameter ignored,"QUnit.init overrides the config var, resetting the noglobals config to false. Since the noglobals get parameter is read before QUnit.init, the noglobals parameter is ignored.",kassens,CONTRIBUTOR,2009-10-02T14:16:41Z,2009-11-05T13:16:45Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Test Suite URL Params need their own query string,"If you use qunit with testswarm it fails to run tests because testswarm adds url params to the tests. So instead of just looking for /test?this is a test, it should be something like /test?t=this is a test",RyanS,CONTRIBUTOR,2009-10-12T14:41:46Z,2009-11-05T13:09:47Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,module name is not shown,"When modules are defined, their names do not appear (for me) next to the test names in the output.
The config object is defined on line 353, and config is assigned to in QUnit.init. config.currentModule is set in the module function and accessed in the test function. It looks like a different config object is being referenced in each of the different functions.",smith,NONE,2009-10-25T03:48:40Z,2009-11-05T13:08:48Z,True,3.0,,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,The assesrtions inside an QUnit.asyncTest are not evaluated asynchronously,"Hi!
As far as I can understand from the code*, the assertions are always evaluated at the parsing time even if the test is asynchronous. One would expect them to be evaluated at the time QUnit.start() is called.

http://github.com/jquery/qunit/blob/master/qunit/qunit.js#L261
http://github.com/jquery/qunit/blob/master/qunit/qunit.js#L279
http://github.com/jquery/qunit/blob/master/qunit/qunit.js#L283",gurdiga,NONE,2009-11-05T13:43:37Z,2009-11-15T04:05:09Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,qunit throws syntax error on Safari 2.0.4,"It is not possible to use qunit to run tests in the Safari 2.0.4 browser, which is still a Level 2 browser here at the BBC. This is because qunit uses a function declaration pattern that Safari 2.0.4 considers to be a ""syntax error.""
// snip
test: function test (testName, callback) { // throws error
}

Rewriting those function declarations to be like the following example will allow qunit to run in Safari 2.0.4.
//snip
test: function (testName, callback) { // runs
}",micmath,NONE,2009-11-13T16:37:04Z,2009-11-15T04:27:56Z,True,6.0,,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"Add ""start"" callback","The browser automation integration callbacks are asymmetric. There's testStart/testDone, moduleStart/moduleDone, but no counterpart for ""done"". It would make sense to have a start callback for the testsuite in total.",runeh,CONTRIBUTOR,2009-12-21T21:38:33Z,2010-07-26T16:12:38Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Modify location.search instead of location.href on test double-click,Double-clicking a test when the URL has a hash doesn't work as the ?testName is put after the hash. Modifying location.search instead would put it before the hash.,eligrey,NONE,2009-12-22T03:17:52Z,2010-07-26T16:17:16Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Failed tests expanded on load,"For the UI - how do people feel about having tests that have failing items initially set to expanded?  I find when I'm writing tests and code, I'm regularly refreshing content as I tweak items, and would like to not have to click into each failed item.  Was going to add this, but didn't want to without a bit of concensus first - could potentially add a checkbox to toggle the preference?",phae,NONE,2010-01-04T16:24:18Z,2010-07-26T16:21:14Z,True,3.0,,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Should have an assertion for locating an item in a list,"I've found this to be very useful in my work, so I thought I'd share it with you guys.  Sometimes you need to check if a particular item shows up in a list.  This is implemented using underscore.js.  You guys can probably remove that dependency easily enough though.
qunit.js:296
contains: function(a, b, message) {
push( _.any(a, function(x){ return QUnit.equiv(x, b) }), a, b, message);
},
Unfortunately, this prints [object Object] in the test's summary.  Can this be fixed?",nickretallack,NONE,2010-01-31T09:04:46Z,2010-07-26T16:23:07Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Show diff if equal() or deepEqual() failed,"Quickly, can you figure out what's wrong here? I don't.",NV,CONTRIBUTOR,2010-02-09T18:26:16Z,2010-07-26T17:02:50Z,True,5.0,,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
